head,relation,tail,head_type,tail_type
PAXIP1,GPI,Q6ZW49,gene,protein
HMGXB3,GPI,Q12766,gene,protein
KLHDC10,GPI,Q6PID8,gene,protein
UNC13A,GPI,Q9UPW8,gene,protein
TTLL5,GPI,Q6EMB2,gene,protein
KIF1B,GPI,O60333,gene,protein
IQSEC2,GPI,Q5JU85,gene,protein
RTF1,GPI,Q92541,gene,protein
FAM168A,GPI,Q92567,gene,protein
ARL6IP1,GPI,Q15041,gene,protein
ZFR2,GPI,Q9UPR6,gene,protein
DNAJC9,GPI,Q8WXX5,gene,protein
TMEM131L,GPI,A2VDJ0,gene,protein
MTCL1,GPI,Q9Y4B5,gene,protein
TSPYL4,GPI,Q9UJ04,gene,protein
NUP160,GPI,Q12769,gene,protein
ANKS1A,GPI,Q92625,gene,protein
UBR2,GPI,Q8IWV8,gene,protein
SIN3B,GPI,O75182,gene,protein
ENTREP2,GPI,O60320,gene,protein
CBX6,GPI,O95503,gene,protein
PHF3,GPI,Q92576,gene,protein
KCTD2,GPI,Q14681,gene,protein
CABIN1,GPI,Q9Y6J0,gene,protein
CDC42EP4,GPI,Q9H3Q1,gene,protein
CLEC5A,GPI,Q9NY25,gene,protein
CORO1C,GPI,Q9ULV4,gene,protein
SH3BP4,GPI,Q9P0V3,gene,protein
FLRT3,GPI,Q9NZU0,gene,protein
APOL2,GPI,Q9BQE5,gene,protein
SUN2,GPI,Q9UH99,gene,protein
ATXN10,GPI,Q9UBB4,gene,protein
KBTBD2,GPI,Q8IY47,gene,protein
CHD5,GPI,O00258,gene,protein
UBXN7,GPI,O94888,gene,protein
SENP3,GPI,Q9H4L4,gene,protein
ERAL1,GPI,O75616,gene,protein
STEAP1,GPI,Q9UHE8,gene,protein
PABPC1,GPI,P11940,gene,protein
CYFIP2,GPI,Q96F07,gene,protein
PDE7B,GPI,Q9NP56,gene,protein
SNX5,GPI,Q9Y5X3,gene,protein
NAAA,GPI,Q02083,gene,protein
GOLIM4,GPI,O00461,gene,protein
POLL,GPI,Q9UGP5,gene,protein
CDH20,GPI,Q9HBT6,gene,protein
MRPL13,GPI,Q9BYD1,gene,protein
DROSHA,GPI,Q9NRR4,gene,protein
N6AMT1,GPI,Q9Y5N5,gene,protein
BLNK,GPI,Q8WV28,gene,protein
ALG6,GPI,Q9Y672,gene,protein
G0S2,GPI,P27469,gene,protein
PODXL2,GPI,Q9NZ53,gene,protein
CHST11,GPI,Q9NPF2,gene,protein
PARD6A,GPI,Q9NPB6,gene,protein
STMN3,GPI,Q9NZ72,gene,protein
APIP,GPI,Q96GX9,gene,protein
CRYL1,GPI,Q9Y2S2,gene,protein
KCTD3,GPI,Q9Y597,gene,protein
DCXR,GPI,Q7Z4W1,gene,protein
HGH1,GPI,Q9BTY7,gene,protein
CDKL3,GPI,Q8IVW4,gene,protein
GMPR2,GPI,Q9P2T1,gene,protein
ECSIT,GPI,Q9BQ95,gene,protein
DACT1,GPI,Q9NYF0,gene,protein
TRIAP1,GPI,O43715,gene,protein
PIGT,GPI,Q969N2,gene,protein
DPH5,GPI,Q9H2P9,gene,protein
ZFR,GPI,Q96KR1,gene,protein
PALS2,GPI,Q9NZW5,gene,protein
WBP11,GPI,Q9Y2W2,gene,protein
HIGD1B,GPI,Q9P298,gene,protein
TREM2,GPI,Q9NZC2,gene,protein
DNAJC10,GPI,Q8IXB1,gene,protein
PRR13,GPI,Q9NZ81,gene,protein
CCSER2,GPI,Q9H7U1,gene,protein
