head,relation,tail,head_type,tail_type,label
753,CGI-D,LRP10,compound,gene,2
753,CGI-D,RAX,compound,gene,2
753,CGI-D,PRRX2,compound,gene,2
753,CGI-D,ESPL1,compound,gene,2
753,CGI-D,TSPYL2,compound,gene,2
753,CGI-D,CD58,compound,gene,2
753,CGI-D,FNBP4,compound,gene,2
753,CGI-D,SPR,compound,gene,2
753,CGI-D,SERPINH1,compound,gene,2
753,CGI-D,HOXC5,compound,gene,2
774,CGI-U,PAN2,compound,gene,1
774,CGI-U,MMP1,compound,gene,1
774,CGI-U,NTS,compound,gene,1
774,CGI-U,CDH3,compound,gene,1
774,CGI-U,KCNK1,compound,gene,1
774,CGI-U,FAS,compound,gene,1
774,CGI-U,DDX42,compound,gene,1
774,CGI-U,ALDOA,compound,gene,1
774,CGI-U,PSMB8,compound,gene,1
774,CGI-U,ALDH18A1,compound,gene,1
774,CGI-D,RPS4Y1,compound,gene,2
774,CGI-D,FUT1,compound,gene,2
774,CGI-D,CANT1,compound,gene,2
774,CGI-D,NIT1,compound,gene,2
774,CGI-D,TMC5,compound,gene,2
774,CGI-D,TOR3A,compound,gene,2
774,CGI-D,SEMA4C,compound,gene,2
774,CGI-D,TWIST1,compound,gene,2
774,CGI-D,LAP3,compound,gene,2
774,CGI-D,TRIM45,compound,gene,2
774,CGI-D,HSF1,compound,gene,2
774,CGI-D,DBN1,compound,gene,2
774,CGI-D,SH2B1,compound,gene,2
774,CGI-D,SBNO2,compound,gene,2
833,CGI-U,RRS1,compound,gene,1
833,CGI-U,SGCB,compound,gene,1
833,CGI-U,GOLM1,compound,gene,1
833,CGI-U,POGK,compound,gene,1
833,CGI-U,PAX6,compound,gene,1
833,CGI-U,SLC37A4,compound,gene,1
833,CGI-U,MAGEA3,compound,gene,1
833,CGI-U,CASP3,compound,gene,1
833,CGI-U,RAB5C,compound,gene,1
833,CGI-U,EPHA7,compound,gene,1
833,CGI-D,BNIP1,compound,gene,2
833,CGI-D,TMC5,compound,gene,2
833,CGI-D,SULF1,compound,gene,2
833,CGI-D,KNG1,compound,gene,2
833,CGI-D,BMP1,compound,gene,2
833,CGI-D,APH1B,compound,gene,2
833,CGI-D,CHIA,compound,gene,2
833,CGI-D,UGT2B15,compound,gene,2
861,CGI-U,NFATC3,compound,gene,1
861,CGI-U,SYK,compound,gene,1
861,CGI-U,WDR7,compound,gene,1
861,CGI-U,ERAP2,compound,gene,1
861,CGI-U,TIPARP,compound,gene,1
861,CGI-U,MANEA,compound,gene,1
861,CGI-U,INHBC,compound,gene,1
861,CGI-U,LPL,compound,gene,1
861,CGI-U,MAPK8,compound,gene,1
861,CGI-U,BARX1,compound,gene,1
861,CGI-U,GINS3,compound,gene,1
861,CGI-U,PAFAH2,compound,gene,1
861,CGI-U,TAS2R7,compound,gene,1
861,CGI-U,ACVRL1,compound,gene,1
861,CGI-D,HAT1,compound,gene,2
861,CGI-D,RNH1,compound,gene,2
861,CGI-D,PSME1,compound,gene,2
861,CGI-D,ENOPH1,compound,gene,2
861,CGI-D,CPSF1,compound,gene,2
861,CGI-D,TSPAN4,compound,gene,2
861,CGI-D,DAP3,compound,gene,2
861,CGI-D,MPZL1,compound,gene,2
861,CGI-D,TALDO1,compound,gene,2
861,CGI-D,PSMG1,compound,gene,2
861,CGI-D,RPL19,compound,gene,2
